ukia_uri,ukia_year,ukia_number,legislation_uri
http://www.legislation.gov.uk/id/ukia/2020/93,2020,93,http://www.legislation.gov.uk/id/uksi/2020/1411
http://www.legislation.gov.uk/id/ukia/2010/327,2010,327,http://www.legislation.gov.uk/id/ukdsi/2011/9780111513156
http://www.legislation.gov.uk/id/ukia/2010/47,2010,47,
http://www.legislation.gov.uk/id/ukia/2019/46,2019,46,http://www.legislation.gov.uk/id/ukdsi/2019/9780111179208
http://www.legislation.gov.uk/id/ukia/2010/21,2010,21,
http://www.legislation.gov.uk/id/ukia/2012/130,2012,130,
http://www.legislation.gov.uk/id/ukia/2013/1145,2013,1145,http://www.legislation.gov.uk/id/uksi/2013/598
http://www.legislation.gov.uk/id/ukia/2015/298,2015,298,http://www.legislation.gov.uk/id/ukdsi/2015/9780111140772
http://www.legislation.gov.uk/id/ukia/2011/636,2011,636,http://www.legislation.gov.uk/id/uksi/2011/239
http://www.legislation.gov.uk/id/ukia/2008/212,2008,212,
http://www.legislation.gov.uk/id/ukia/2011/359,2011,359,http://www.legislation.gov.uk/id/uksi/2011/1606
http://www.legislation.gov.uk/id/ukia/2015/220,2015,220,http://www.legislation.gov.uk/id/uksi/2015/767
http://www.legislation.gov.uk/id/ukia/2018/14,2018,14,http://www.legislation.gov.uk/id/nisr/2018/5
http://www.legislation.gov.uk/id/ukia/2013/162,2013,162,http://www.legislation.gov.uk/id/ukdsi/2013/9780111105207
http://www.legislation.gov.uk/id/ukia/2020/4,2020,4,http://www.legislation.gov.uk/id/ukdsi/2020/9780111192238
http://www.legislation.gov.uk/id/ukia/2009/244,2009,244,
http://www.legislation.gov.uk/id/ukia/2021/9,2021,9,http://www.legislation.gov.uk/id/ukdsi/2021/9780348220780
http://www.legislation.gov.uk/id/ukia/2011/381,2011,381,http://www.legislation.gov.uk/id/uksi/2011/1881
http://www.legislation.gov.uk/id/ukia/2016/252,2016,252,http://www.legislation.gov.uk/id/uksi/2017/1112
http://www.legislation.gov.uk/id/ukia/2012/313,2012,313,http://www.legislation.gov.uk/id/ukdsi/2012/9780111526309
http://www.legislation.gov.uk/id/ukia/2010/97,2010,97,
http://www.legislation.gov.uk/id/ukia/2014/194,2014,194,http://www.legislation.gov.uk/id/uksi/2014/1648
http://www.legislation.gov.uk/id/ukia/2019/96,2019,96,http://www.legislation.gov.uk/id/uksi/2019/605
http://www.legislation.gov.uk/id/ukia/2008/118,2008,118,
http://www.legislation.gov.uk/id/ukia/2010/255,2010,255,
http://www.legislation.gov.uk/id/ukia/2015/126,2015,126,http://www.legislation.gov.uk/id/uksi/2015/480
http://www.legislation.gov.uk/id/ukia/2010/71,2010,71,
http://www.legislation.gov.uk/id/ukia/2019/70,2019,70,http://www.legislation.gov.uk/id/uksi/2019/410
