en_uri,filename,en_type,en_title,en_date,legislation_uri,legislation_class,legislation_year,legislation_number,legislation_title
http://www.legislation.gov.uk/ukpga/2003/22/pdfs/ukpgaen_20030022_en.pdf,ukpgaen_20030022_en,UK Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/ukpga/2003/22,UnitedKingdomPublicGeneralAct,2003,22,Fireworks Act 2003
http://www.legislation.gov.uk/ukpga/2016/22/pdfs/ukpgaen_20160022_en.pdf,ukpgaen_20160022_en,UK Act Explanatory Note,Explanatory Note,2016-06-02,http://www.legislation.gov.uk/id/ukpga/2016/22,UnitedKingdomPublicGeneralAct,2016,22,Housing and Planning Act 2016
http://www.legislation.gov.uk/nia/2013/6/pdfs/niaen_20130006_en.pdf,niaen_20130006_en,NI Act Explanatory Note,Explanatory Note,2013-04-30,http://www.legislation.gov.uk/id/nia/2013/6,NorthernIrelandAct,2013,6,Water and Sewerage Services (Amendment) Act (Northern Ireland) 2013
http://www.legislation.gov.uk/nia/2010/12/pdfs/niaen_20100012_en.pdf,niaen_20100012_en,NI Act Explanatory Note,Explanatory Note,2010-08-06,http://www.legislation.gov.uk/id/nia/2010/12,NorthernIrelandAct,2010,12,Employment Act (Northern Ireland) 2010
http://www.legislation.gov.uk/ukpga/2009/6/pdfs/ukpgaen_20090006_en.pdf,ukpgaen_20090006_en,UK Act Explanatory Note,Explanatory Note,2009-09-23,http://www.legislation.gov.uk/id/ukpga/2009/6,UnitedKingdomPublicGeneralAct,2009,6,Geneva Conventions and United Nations Personnel (Protocols) Act 2009
http://www.legislation.gov.uk/ukpga/2018/33/pdfs/ukpgaen_20180033_en.pdf,ukpgaen_20180033_en,UK Act Explanatory Note,Explanatory Note,2019-01-10,http://www.legislation.gov.uk/id/ukpga/2018/33,UnitedKingdomPublicGeneralAct,2018,33,Courts and Tribunals (Judiciary and Functions of Staff) Act 2018
http://www.legislation.gov.uk/ukpga/2007/18/pdfs/ukpgaen_20070018_en.pdf,ukpgaen_20070018_en,UK Act Explanatory Note,Explanatory Note,2008-01-31,http://www.legislation.gov.uk/id/ukpga/2007/18,UnitedKingdomPublicGeneralAct,2007,18,Statistics and Registration Service Act 2007
http://www.legislation.gov.uk/asp/2020/3/pdfs/aspen_20200003_en.pdf,aspen_20200003_en,Scottish Act Explanatory Note,Explanatory Note,2020-07-06,http://www.legislation.gov.uk/id/asp/2020/3,ScottishAct,2020,3,Scottish National Investment Bank Act 2020
http://www.legislation.gov.uk/asp/2025/4/pdfs/aspen_20250004_en.pdf,aspen_20250004_en,Scottish Act Explanatory Note,Explanatory note,2025-02-27,http://www.legislation.gov.uk/id/asp/2025/4,ScottishAct,2025,4,Scottish Elections (Representation and Reform) Act 2025
http://www.legislation.gov.uk/asp/2024/13/pdfs/aspen_20240013_en.pdf,aspen_20240013_en,Scottish Act Explanatory Note,Explanatory Note,2025-01-20,http://www.legislation.gov.uk/id/asp/2024/13,ScottishAct,2024,13,Circular Economy (Scotland) Act 2024
